"","text"
"1","hecho esencial altamar sa administradora general  fondos “ sociedad ” santiago  febrero  sefiores comision   mercado financiero presente  conformidad   establecido   articulos °  °   ley n°  mercado  valores   articulo   ley n°  administracien  fondos  terceros  carteras individuales encontrandome debidamente facultado  efecto  medio   presente vengo  comunicar   comisin  caracter  hecho esencial  altamar sa administradora general  fondos    indica  continuacien  fecha  febrero    depositado  reglamento interno  “ fondo  inversion outdoor ”   pasa  ser administrado   sociedad  partir   misma fecha   particular  despide atentamente ae aa ak fa man rw  francisco jose gytierrez deta cer gerente general pp altamar sa administradora general  fondos cc bolsa  comercio  santiago bolsa  valores depdesito central  valores sa depesito  valores "
"2","hecho esencial santiago  noviembre senor joaquin cortez presidente consejo   comision   mercado financiero presente referencia hecho esencial concesionaria subterra dos sa inscripcion n°   consideracion conforme   normativa vigente   especial   articulos    ley  mercado  valores   debidamente facultado  ello comunico   comision   mercado financiero “ cmf ”  siguientes hechos   sociedad  calificado  esenciales    debe informar  you   conocimiento   cmf   reunido  totalidad   acciones  concesionaria subterra dos sa  saba estacionamientos  chile sa   plazo ininterrumpido  dias  consecuencia   producido  disolucion  concesionaria subterra dos sa  conformidad   articulo n°   ley n°  detalle   informacion  dicha operacion   comunicado   cmf mediante  proceso  inscripcion   registro especial  entidades informantes   sociedad saba estacionamientos  chile sa   particular saluda atentamente  ud "
"3","aeropuerto chacalluta sociedad concesionaria sa santiago  agosto  gg sociedad aeropuerto chacalluta sociedad concesionaria sa inscripcien registro especial ny mat informa notificacien solicitud  pronunciamiento favorable  aplicacien  multa senor joaquin cortez huerta presidente comisin   mercado financiero av bernardo ohiggins n° piso presente hecho esencial   consideracien  medio   presente informamos  ud    notificados   solicitud presentada   direccien general  obras ptiblicas dirigida   comisien conciliadora   finalidad    emita pronunciamiento favorable  objeto    ministerio  obras publicas pueda imponer  acropuerto chacalluta sociedad concesionaria sa multas  utm cada   cada dia  atraso   entrega   boletas  garantia exigidas   articulo segun  sefialado   articulo letra c ambas   base  licitacien  contrato  concesin  aplicacien  dicha multa  susceptible  reclamacien conforme  dispone  articulo bis   ley  concesiones  articulo  reglamento  normas  procedimientos comisin conciliadora   concesion   particular  saluda  atentamente juan do lacassie wiederhold gerente general aeropuerto chacalluta sociedad concesionaria sa ec “ archivo arica santiago john wall holcombs syn arica av apequindo of xv regidn  chile  condes casilla santiago  chile fona fax b fono wwwchacallutacl "
"4","larrainvial activos santiago  agosto  sefiores comision   mercado financiero presente hecho esencial fondo  inversion deuda energia colombiana “ fondo ” administrado  larrain vial activos sa administradora general  fondos   consideracien  virtud   dispuesto   articulo °    inciso segundo  articulo °   ley  mercado  valores   conformidad   norma  caracter general n°   comisien   mercado financiero encontrandome debidamente facultado  calidad  gerente general  larrain vial activos sa administradora general  fondos  administradora   presente informo  ustedes  hecho esencial  fondo  inversien deuda energia colombiana  fondo  siguiente  virtud   dispuesto   articulo  titulo xii aumentos  disminuciones  capital  reglamento interno  fondo  fondo podra realizar disminuciones voluntarias  parciales  capital  decisien   administradora   necesidad  acuerdo alguno   asamblea  aportantes      cuotas suscritas  pagadas  fondo  bien  valor   cuotas  fondo  fin  restituir    aportantes  parte proporcional   inversien   fondo  ello  sesin  directorio   administradora celebrada  fecha  agosto   acorde  disminucien  capital  fondo   cantidad total  usd disminuyendo  valor   cuotas  fondo asimismo informo   pago   disminucien sefialada  efectuara  partir  dia  agosto    oficinas   administradora ubicadas  avenida  bosque norte n° piso  condes santiago  lunes  viernes   horas   aportantes   encuentren inscritos   registro respectivo  ° dia habil anterior  ta fecha  pago  prorrata  numero  cuotas    titulares   fecha   parte  acorde   misma sesin  directorio  distribucion   dividendo provisorio   cantidad total  usd  cargo   utilidades  ejercicio  fondo larrainvial activos  pago  dividendo sefalado  efectuara  partir  dia  agosto    oficinas   sociedad administradora ubicadas  avenida  bosque norte n° piso  condes santiago  lunes  viernes   horas   aportantes   encuentren inscritos   registro respectivo  ° dia habil anterior   fecha  pago  prorrata  numero  cuotas    titulares   fecha   particular  saluda  atentamente claudio yafiez fregonara gerente general larrain vial activos sa administradora general  fondos cc bolsa  comercio  santiago "
"5","larrainvial activos santiago  agosto  sefiores comision   mercado financiero presente hecho esencial fondo  inversion larrain vial bcp “ fondo ” administrado  larrain vial activos sa administradora general  fondos   consideracion  virtud   dispuesto   articulo °    inciso segundo  articulo °   ley  mercado  valores   conformidad   norma  caracter general n°   comisien encontrandome debidamente facultado  calidad  gerente general  larrain vial activos §  administradora general  fondos  administradora   presente informo  ustedes  hecho esencial  fondo  inversien larrain vial bcp  fondo  siguiente  asamblea extraordinaria  aportantes  fondo  fecha  mayo   acorde  disminucien  capital      cuotas suscritas  pagadas  fondo  dicha asamblea  aportantes  fondo acordaron ademas   referida disminucien  capital  materializaria   oo  parcialidades mediante  disminucien  numero  cuotas  fondo  bien mediante  disminucien  valor  cada    cuotas  fondo segun  determine  administradora  ello  sesien  directorio   administradora celebrada  fecha  agosto   acorde  disminucien  capital  fondo   cantidad total  usd  traves   disminucion  numero  cuctas asimismo informo   pago   disminucien sefialada  efectuara  partir   agosto    oficinas   administradora ubicadas  avenida  bosque norte numero piso  condes santiago  lunes  viernes   horas   aportantes   encuentren inscritos   registro respectivo  quinto dia habil anterior   fecha  pago   particular  saluda rhuyat ntamente h claudio yariez fregonara gerente general larrain vial activos sa administradora general  fondos cc bolsa  comercio  santiago "
"6","pkf chile auditores consultores ltda pkf accountant business adviser jtiago  agosto  g senores "
"7","tl bidet b n v  grupoefe operador pfranco division control financiero valores nro inscrip § v hecho esencial elt inmobiliaria nueva via sa gh ee mer inscripcion  registro  valores n° as have nscripcion  registro  valores qa rchiyo  q i oe ” santiago  agosto  senor — joaquin cortez huerta comision   mercado financiero presente  conformidad   establecido   secciden ii   norma  caracter general n°   comisien   virtud   dispuesto   articulo  inciso °  articulo   ley n° informamos  usted  caracter  hecho esencial   sesien ordinaria  directorio celebrada  fecha  agosto  acorde aceptar  renuncia voluntaria  don cristbal montecino castro  director "
"8","uit vanttrust capital santiago  agosto  sefior joaquin cortez presidente comisin   mercado financiero presente ref comunica hecho esencial  vantrust capital corredores  bolsa sa inscrita bajo  n°   registro  corredores  bolsa  agentes  valores   consideracien  acuerdo   dispuesto   articulos °  °   ley n°  norma  caracter general n°   circular n°   comision cumplo  informar  usted  mediante junta  accionistas  vantrust capital corredores  bolsa sa celebrada   agosto    renovado  directorio   sociedad resultando elegidas  siguientes persona don jose miguel saavedra florez don julio rebolledo diaz don armando massarente silva don gerardo sabino lahsen aboid don claudio luis cerda herreros iit vanttrust capital   modo   implementado  cambio propuesto   gerencia  efectos  optimizar  gobierno corporativo separando  funciones  gerente general  rol  director  incorporando ademas nuevos directores independientes   particular  saluda atentamente fp vi icionazal saca gerente general vantrust capital corredores  bolsa sa "
"9","xt ee enjoy ’ santiago  agosto  hecho esencial enjoy sa inscripcion registro  valores n° sefior joaquin cortez h presidente comision   mercado financiero presente   consideracien   calidad  gerente general  enjoy sa “ enjoy ”   virtud   dispuesto   articulos °  °   ley n°  mercado  valores  debidamente facultado   directorio  medio   presente comunico  ud  caracter  hecho esencial  siguiente   misma fecha enjoy   filial enjoy gestien limitada  “ compradores ”  celebrado  contrato  compraventa  acciones  “ contrato  compraventa ”  latin gaming chile sa latin gaming investment  norte sa  inmobiliaria polaris sa  “ vendedores ”     acciones emitidas   sociedades chilenas casino  juegos  pacifico sa “ cdp ”  casino gran  angeles sa “ cgla ” propiedad   vendedores ademas   contrato  compraventa  acord  transferencia   compradores   totalidad   acciones   nueva sociedad  tendra  operacien  hotel  san antonio propiedad   vendedores   actualmente funciona  casino  juegos ei precio total   acciones  cdp cgla    sociedad operadora  hotel  san antonio serum  suma  unidades  fomento monto  serum pagado   compradores  vez cumplidas  condiciones suspensivas   indican  adelante cdp   adjudicataria   permiso  operacien  casino  juego   comuna  san antonio regien  valparaiso permiso otorgado   superintendencia  casino  juego mediante resolucien exenta n°  fecha  diciembre   permiso  operacien rige   plazo  afios  contar   agosto  chile argentina uruguay colombia enjoyyct xt ps cgla   adjudicataria   permiso  operacin  casino  juego   comuna   angeles regien  bio bio permiso otorgado   superintendencia  casino  juego mediante resolucien exenta n°  fecha  julio   permiso  operacion rige   plazo  afios  contar   julio  afio  transferencia   acciones  contrato  compraventa  sujeta  cumplimiento  diversas condiciones suspensivas   esencial   aprobacien  parte   superintendencia  casino  juego   transferencia  todas  acciones  cdp  cgla   compradores  terminos puros  simple  conformidad   ley numero  casino  juegos  b  autorizacien  parte   fiscalia nacional econdemica   adquisicien  parte   compradores  todas  acciones  cumplimiento   dispuesto   dfl n°  afio  ministerio  economia fomento  turismo  fija  texto refundido coordinado  sistematizado  decreto ley n°   defensa   libre competencia   particular  saluda atentamente ger eh gerente general njoy sa chile argentina uruguay colombia enjoycl "
"10","  bci ie bolsa santiago  agosto sefior joaquin cortez huerta presidente comisin   mercado financiero presente ref hecho esencial   consideracin  acuerdo   normativa vigente comunicamos   comisin  siguiente hecho esencial anuncio  dividendo  efectivo lugar  fecha new york  agosto  emisora home depot inc hd hecho esencial  compaijiia  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate  agosto  fecha registro  agosto  fecha pago  septiembre  ratio  pagar  accion usd importe bruto ratio  pagar  accien usd importe neto mercado  exterior new york puede accederse  informaciden adicional   serie  referencia  traves  siguiente link  bci corredor  bolsa httpswwwbciclinversionesbcicorredordebolsavaloresextranjeros   particular  saluda atentamente cc bolsa  comercio  santiago cc bolsa electronica  chile bci corredor  bolsa sa magdalena piso santiago chile "
