"","Modelo1","Texto"
"1","neutro","HECHO ESENCIAL ALTAMAR S.A. ADMINISTRADORA GENERAL DE FONDOS (“Sociedad”) Santiago, 26 de febrero de 2021 Sefiores Comision para el Mercado Financiero Presente  De conformidad con lo establecido en los articulos 9° y 10° de la Ley N° 18.045 sobre Mercado de Valores y el articulo 18 de la Ley N° 20. 712 sobre Administracién de Fondos de Terceros y Carteras Individuales, encontrandome debidamente facultado al efecto, por medio de la presente vengo en comunicar a esa Comisi6n, en caracter de hecho esencial de Altamar S.A. Administradora General de Fondos, lo que se indica a continuacién:  Con fecha 26 de febrero de 2021 se ha depositado el Reglamento Interno del “Fondo de Inversion Outdoors”, el cual pasa a ser administrado por la Sociedad a partir de esa misma fecha.  Sin otro particular, se despide atentamente,  ae aa, Ak fa man rw A Francisco José Gytiérrez deta Cer Gerente General -* 3 p.p. Altamar S.A. Administradora General de Fondos c.c. Bolsa de Comercio de Santiago, Bolsa de Valores Depdésito Central de Valores S.A., Depésito de Valores"
"2","positivo","HECHO ESENCIAL Santiago, 2 de noviembre 2020 Señor Joaquín Cortez Presidente Consejo de la Comisión para el Mercado Financiero Presente Referencia: Hecho Esencial- Concesionaria Subterra Dos S.A. Inscripción N° 74 De mi consideración; Conforme a la normativa vigente, y en especial a los artículos 9 y 10 de la ley 18.045 de Mercado de Valores, y estando debidamente facultado para ello, comunico a la Comisión para el Mercado Financiero (“CMF”), los siguientes hechos, que esta sociedad ha calificado como esenciales, de los cual debe informar. Como ya es de conocimiento de la CMF, se ha reunido la totalidad de las acciones de Concesionaria Subterra Dos S.A. en Saba Estacionamientos de Chile S.A. por un plazo ininterrumpido de 10 días. En consecuencia, se ha producido la disolución de Concesionaria Subterra Dos S.A., de conformidad con el artículo 103 N° 2 de la Ley N° 18.046. El detalle de la información de dicha operación ha sido comunicado a la CMF mediante el proceso de inscripción en el Registro Especial de Entidades Informantes de la sociedad Saba Estacionamientos de Chile S.A. Sin otro particular, saluda atentamente a Ud."
"3","negativo","Aeropuerto Chacalluta Sociedad Concesionaria S.A. Santiago, 17 de agosto de 2018. G.G.: 09/2018. Sociedad: Aeropuerto Chacalluta Sociedad Concesionaria S.A. Inscripcién Registro Especial NY 120. Mat. Informa notificacién  solicitud de pronunciamiento favorable de aplicacién de multa, Senor Joaquin Cortez Huerta Presidente Comisi6n para el Mercado Financiero Av. Bernardo O'Higgins N° 1449, piso 1 Presente. HECHO ESENCIAL. De nuestra consideracién: Por medio de la presente, informamos a Ud. que hemos sido notificados de una solicitud presentada por la Direccién General de Obras Ptiblicas, dirigida a la Comisién Conciliadora, con la finalidad de que esta emita pronunciamiento favorable a objeto de que el Ministerio de Obras Publicas pueda imponer a Acropuerto Chacalluta Sociedad Concesionaria S.A., 11 multas de 1.000 UTM cada una, por cada dia de atraso en la entrega de las boletas de garantia exigidas en el articulo 1.8.3.2, segun lo sefialado en el articulo 1.8.5.1 letra c), ambas de las Bases de Licitacién del Contrato de Concesi6n. La aplicacién de dicha multa es susceptible de reclamacién conforme lo dispone el articulo 36 bis de la Ley de Concesiones y articulo 10 del Reglamento de Normas y Procedimientos Comisi6n Conciliadora de la concesion. Sin otro particular, le saluda muy atentamenté, Juan do Lacassie Wiederhold Gerente General Aeropuérto Chacalluta Sociedad Concesionaria S.A. ec: “Archivo. ARICA | SANTIAGO John Wall Holcombs SYN* Arica Av. Apequindo 4001 Of. 501 XV Regidn de Chile Las Condes Casilla 97 Santiago de Chile, Fona: (#56 58) 213 416 | Fax: (456 5B) 213 877 Fono: (456 2) 729 03 00 www.chacalluta.cl"
"4","doble","LarrainVial  ACTIVOS Santiago, 17 de agosto de 2018  Sefiores Comision para el Mercado Financiero PRESENTE  HECHO ESENCIAL  FONDO DE INVERSION DEUDA ENERGIA COLOMBIANA (“FONDO”) Administrado por LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS  De nuestra consideracién:  En virtud de lo dispuesto en el articulo 9° y en el inciso segundo del articulo 10° de la Ley de Mercado de Valores, y de conformidad con la Norma de Caracter General N°30, de la Comisién para el Mercado Financiero, encontrandome debidamente facultado en calidad de gerente general de Larrain Vial Activos S.A. Administradora General de Fondos (la Administradora), por la presente informo a Ustedes como hecho esencial de Fondo de Inversién Deuda Energia Colombiana (el Fondo) lo siguiente:  En virtud de lo dispuesto en el articulo 37 del Titulo XII Aumentos y Disminuciones de Capital del Reglamento Interno del Fondo, el Fondo podra realizar disminuciones voluntarias y parciales de capital, por decisién de la Administradora y sin necesidad de acuerdo alguno de una Asamblea de Aportantes, por hasta el 100% de las cuotas suscritas y pagadas del Fondo, o bien del valor de las cuotas del Fondo, a fin de restituir a todos los Aportantes la parte proporcional de su inversién en el Fondo.  Por ello en sesi6n de directorio de su Administradora, celebrada con fecha 16 de agosto de 2018, se acordé una disminucién de capital del Fondo por la cantidad total de USD$ 1.645.950, disminuyendo el valor de las cuotas del Fondo.  Asimismo, informo que el pago de la disminucién sefialada se efectuara a partir del dia 23 de agosto de 2018 en las oficinas de la Administradora, ubicadas en Avenida El Bosque Norte N° 0177, piso 3, Las Condes, Santiago, de lunes a viernes de 9:00 a 18:00 horas, a los Aportantes que se encuentren inscritos en el registro respectivo al 5° dia habil anterior a ta fecha de pago, a prorrata del numero de cuotas de que sean titulares a esa fecha.  Por otra parte se acordé en la misma sesi6n de directorio la distribucion de un dividendo provisorio por la cantidad total de USD$ 378.659-, con cargo a las utilidades del ejercicio 2018 del Fondo.  LarrainVial  ACTIVOS  El pago del dividendo sefalado, se efectuara a partir del dia 23 de agosto de 2018 en las oficinas de la Sociedad Administradora, ubicadas en Avenida El Bosque Norte N° 0177, piso 3, Las Condes, Santiago, de lunes a viernes de 9:00 a 18:00 horas, a los Aportantes que se encuentren inscritos en el registro respectivo al 5° dia habil anterior a la fecha de pago, a prorrata del numero de cuotas de que sean titulares a esa fecha.  Sin otro particular, le saluda muy atentamente,  Claudio Yafiez Fregonara Gerente General Larrain Vial Activos S.A. Administradora General de Fondos  c.c.: Bolsa de Comercio de Santiago"
"5","doble","LarrainVial  ACTIVOS Santiago, 17 de agosto de 2018 Sefiores Comision para el Mercado Financiero PRESENTE HECHO ESENCIAL FONDO DE INVERSION LARRAIN VIAL - BCP (“FONDO”) Administrado por LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS De nuestra consideracion:  En virtud de lo dispuesto en el articulo 9° y en el inciso segundo del articulo 10° de la Ley de Mercado de Valores, y de conformidad con la Norma de Caracter General N°30, de esta Comisién, encontrandome debidamente facultado en calidad de gerente general de Larrain Vial Activos §.A. Administradora General de Fondos (la Administradora), por la presente informo a Ustedes como hecho esencial de Fondo de Inversién Larrain Vial BCP (el Fondo) lo siguiente:  En Asamblea Extraordinaria de Aportantes del Fondo de fecha 23 de mayo de 2018, se acordé una disminucién de capital por hasta el 100% de las cuotas suscritas y pagadas del Fondo. En dicha asamblea, los aportantes del Fondo acordaron ademas que : la referida disminucién de capital se materializaria en una oO mas parcialidades, mediante la disminucién del numero de Cuotas del Fondo o bien mediante la disminucién del valor de cada una de las Cuotas del Fondo, segun lo determine la Administradora.  Por ello en sesién de directorio de su Administradora, celebrada con fecha 16 de agosto de 2018, se acordé una disminucién de capital del Fondo por la cantidad total de USD$ 6.294.654,51.-, a través de la disminucion del numero de cuctas.  Asimismo, informo que el pago de la disminucién sefialada se efectuara a partir del 23 de agosto de 2018, en las oficinas de la Administradora, ubicadas en Avenida El Bosque Norte numero 0177, piso 3, Las Condes, Santiago, de Lunes a Viernes de 9:00 a 18:00 horas, a los Aportantes que se encuentren inscritos en el registro respectivo al quinto dia habil anterior a la fecha de pago.  Sin otro particular, le saluda rhuyat ntamente,  hs Claudio Yariez Fregonara Gerente General Larrain Vial Activos S.A. Administradora General de Fondos c.c.: Bolsa de Comercio de Santiago"
"6","neutro","PKF Chile Auditores Consultores Ltda. PKF Accountants & business advisers  jtiago, 16 de agosto de 2018 G-0368-2018-08 Senores"
"7","neutro","TL Bidets 2018080141435 B N V | A GRUPOEFE 17/08/2018 09:56 Operador: PFRANCO DIVISION CONTROL FINANCIERO VALORES Nro Inscrip §75v HECHO ESENCIAL ELT Inmobiliaria Nueva Via S.A. Gh EE MER Inscripcion en Registro de Valores N° 575 AS D nscripcion en Registro de Valores = \ QA @ 3 RCHIyo 3 O 2/ Q i oe” Santiago, 16 de agosto de 2018 Senor — JOAQUIN CORTEZ HUERTA COMISION PARA EL MERCADO FINANCIERO Presente En conformidad a lo establecido en la seccidén II de la Norma de Caracter General N° 30 de esta Comisién y en virtud de lo dispuesto en el articulo 9 e inciso 2° del articulo 10 de la Ley N° 18.045, informamos a usted en caracter de Hecho Esencial que en Sesién Ordinaria de Directorio celebrada con fecha 14 de agosto se acordé: 1.- Aceptar la renuncia voluntaria de don Crist6bal Montecino Castro como Director"
"8","neutro","uit VantTrust Capital Santiago, 16 de agosto de 2018 Sefior Joaquin Cortez Presidente Comisi6n para el Mercado Financiero Presente Ref... Comunica hecho esencial de VANTRUST CAPITAL CORREDORES DE BOLSA S.A., inscrita bajo el N° 186 en el Registro de Corredores de Bolsa y Agentes de Valores. De nuestra consideracién, De acuerdo con lo dispuesto en los articulos 9° y 10° de la Ley N° 18.045, la Norma de Caracter General N° 16 y la Circular N° 1737 de esa Comision, cumplo con informar a Usted que mediante junta de accionistas de VANTRUST CAPITAL CORREDORES DE BOLSA S.A celebrada el 14 de agosto de 2018, se ha renovado el directorio de esta sociedad, resultando elegidas las siguientes personas: - Don José Miguel Saavedra Florez - Don Julio Rebolledo Diaz - Don Armando Massarente Silva - Don Gerardo Sabino Lahsen Aboid - Don Claudio Luis Cerda Herreros .  iit: VantTrust Capital De este modo, se ha implementado un cambio propuesto por esta gerencia, a efectos de optimizar el gobierno corporativo, separando las funciones de gerente general del rol de director e incorporando ademas nuevos directores independientes. Sin otro particular, le saluda atentamente, fp Vi / / icio/Nazal Saca Gerénte General VANTRUST CAPITAL CORREDORES DE BOLSA S.A."
"9","positivo","* + xt ee enjoy’ Santiago, 16 de agosto de 2018 HECHO ESENCIAL Enjoy S.A. Inscripcion Registro de Valores N° 1033 Sefior Joaquin Cortez H. Presidente Comision para el Mercado Financiero Presente De mi consideracién, En mi calidad de Gerente General de Enjoy S.A. (“Enjoy”), y en virtud de lo dispuesto en los articulos 9° y 10° de la Ley N° 18.045 sobre Mercado de Valores, y debidamente facultado por el Directorio, por medio de la presente comunico a Ud., en caracter de Hecho Esencial, lo siguiente: Con esta misma fecha Enjoy y su filial Enjoy Gestién Limitada (los “Compradores”) han celebrado un Contrato de Compraventa de Acciones (el “Contrato de Compraventa”) con LATIN GAMING CHILE S.A., LATIN GAMING INVESTMENTS DEL NORTE S.A. e INMOBILIARIA POLARIS S.A. (los “Vendedores”) por el 100% de las acciones emitidas por las sociedades chilenas Casino de Juegos del Pacifico S.A. (“CDP”) y Casino Gran Los Angeles S.A. (“CGLA”) propiedad de los Vendedores. Ademas en el Contrato de Compraventa se acord6 la transferencia a los Compradores de la totalidad de las acciones de una nueva sociedad que tendra la operacién del hotel de San Antonio, propiedad de los Vendedores y donde actualmente funciona el casino de juegos. EI precio total por las acciones de CDP, CGLA y de la sociedad operadora del hotel de San Antonio, sera la suma de 159.455 Unidades de Fomento, monto que sera pagado por los Compradores una vez cumplidas las condiciones suspensivas que se indican mas adelante. CDP es la adjudicataria de un permiso de operacién de casinos de juego en la comuna de San Antonio, Regién de Valparaiso, permiso otorgado por la Superintendencia de Casinos de Juego mediante Resolucién Exenta N° 342, de fecha 26 de diciembre de 2006. El permiso de operacién rige por un plazo de 15 afios a contar del 27 de agosto de 2009. CHILE | ARGENTINA | URUGUAY | COLOMBIA enJOyY.ct  % + xt Ps) CGLA es la adjudicataria de un permiso de operaci6n de casinos de juego en la comuna de Los Angeles, Regién del Bio Bio, permiso otorgado por la Superintendencia de Casinos de Juego mediante Resolucién Exenta N° 169, de fecha 21 de julio de 2006. El permiso de operacion rige por un plazo de 15 afios a contar del 28 de Julio del afio 2008. La transferencia de las acciones del Contrato de Compraventa esta sujeta al cumplimiento de diversas condiciones suspensivas, en lo esencial: (a) la aprobacién por parte de la Superintendencia de Casinos de Juego a la transferencia de todas las acciones de CDP y CGLA a los Compradores en términos puros y simples de conformidad con la Ley Numero 19.995 sobre Casinos de Juegos y (b) la autorizacién por parte de la Fiscalia Nacional Econdémica de la adquisicién por parte de los Compradores de todas las Acciones en cumplimiento con lo dispuesto en el DFL N°1 del afio 2005 del Ministerio de Economia, Fomento y Turismo que fija el texto refundido, coordinado y sistematizado del Decreto Ley N°211 de 1973 sobre defensa de la libre competencia Sin otro particular, le saluda atentamente, Ger. eh Gerente General njoy S.A. CHILE =| ARGENTINA | URUGUAY | COLOMBIA enJOY.cl"
"10","doble","e o BCI ie Bolsa Santiago, 16 de Agosto 2018 Sefior Joaquin Cortez Huerta Presidente comisi6n para el Mercado Financiero PRESENTE Ref.: HECHO ESENCIAL De mi consideraci6n: De acuerdo a la normativa vigente, comunicamos a esa comisi6n, el siguiente hecho esencial. Anuncio de Dividendo en Efectivo Lugar y Fecha: New York 16 de Agosto de 2018 Emisora: HOME DEPOT INC (HD) Hecho Esencial: La Compaijiia de referencia ha anunciado el siguiente pago de dividendo en efectivo: Fecha Ex-Date: 29 de Agosto de 2018 Fecha registro: 30 de Agosto de 2018 Fecha Pago: 13 de Septiembre de 2018 Ratio a pagar por accion: USD 1.03 (Importe bruto) Ratio a pagar por acci6én: USD 0.721 (Importe neto) Mercado del exterior. New York Puede accederse a informacidén adicional de la Serie de referencia a través del siguiente link de BCI Corredor De Bolsa: https://www.bci.cl/inversiones/bci-corredor-de-bolsa#valores-extranjeros Sin otro particular, les saluda atentamente C.c.: Bolsa de Comercio de Santiago. C.c.: Bolsa Electronica de Chile. BCI Corredor de Bolsa S.A. Magdalena 140, piso 14, Santiago. Chile."
